################################################################
# abuse.ch SSLBL SSL Certificate Blacklist (SHA1 Fingerprints) #
# Last updated: 2022-07-02 07:02:11 UTC                        #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Listingdate,SHA1,Listingreason
#The first entry (and only the first one) is fake. It is used to trigger the risk in the tests
1970-01-01 00:00:00,0DDB34F875632C7E1EC09D75827F82D2336DFEB6, Fake
2022-07-02 07:02:11,3784422d67a6ae0c82d60eeaf3850960a9896cb2,AsyncRAT C&C
2022-07-01 18:28:10,a0d78b3ddb27cd4f110a0292cab800beadaf9bd2,AsyncRAT C&C
2022-07-01 09:44:14,4c319ec8b5a66a256a0137d70cd0f9a76bb23fd7,AsyncRAT C&C
2022-06-30 08:33:16,73f88fe673ebeeb1ef4d6fc7927b46c8f48ac450,AgentTesla C&C
2022-06-30 08:32:05,d85b16b753442836c5e6c9c17f68d1e48c5e51c7,AsyncRAT C&C
2022-06-29 07:42:03,380793fde8622ae61f797772e9a72205f090671e,AsyncRAT C&C
2022-06-29 07:41:47,a8c9dcfebc03e211ee558f863cdbf176066401c6,AsyncRAT C&C
2022-06-28 08:03:08,9c55b057d63d335c3de8a9c267e2b49d8e668f56,AsyncRAT C&C
2022-06-28 05:45:58,30fe0fcbab854bc45906d354cebe5a7cddaab78e,AsyncRAT C&C
2022-06-27 15:02:20,a1f38c72cd303be4690734614cad6b6eec673e7a,AsyncRAT C&C
2022-06-27 15:01:57,0c25569d92b7e87e33852bea5138fbd6fd7b2610,Vjw0rm C&C
2022-06-27 15:01:32,9d83e37a823726b2b5a881917a7c3957c3699e68,BitRAT C&C
2022-06-27 07:41:14,44e5eb4d2b9b65e4b4441a0d397e96a08733abad,AsyncRAT C&C
2022-06-27 07:41:02,8d0feeacc57dbe08ec25a2721154d47f94a6d89c,AsyncRAT C&C
2022-06-26 07:32:43,f2ae85469857271d455b6148d9f5873c16a9f6fa,AsyncRAT C&C
2022-06-25 07:55:37,b0a533c26fd73a2e928fb19b250df37e104b081c,QuasarRAT C&C
2022-06-25 07:55:23,db39fb926ca9355080ef7983f1feac668305a0f6,QuasarRAT C&C
2022-06-25 07:55:18,86b2b1e98483a0b96a922ae781ed7979c1f77623,QuasarRAT C&C
2022-06-25 07:55:14,9a2a8d1211ddb7eeb0fd7e9805942d796b0b58f1,QuasarRAT C&C
2022-06-25 06:24:38,c8b9effa43d9ed325c7b2a2a24db7a1314e43b2d,AsyncRAT C&C
2022-06-24 15:20:22,f59bca67271ee10062e5e532d0d9b118b65ac880,AsyncRAT C&C
2022-06-24 08:36:30,40bab998f75f015f8933deeb3c4db172dd4cbe33,AsyncRAT C&C
2022-06-24 08:36:22,abb291f39ba9844cc5f134b40c16c59a2e9970a1,BitRAT C&C
2022-06-24 08:36:00,3eef3d7311a2b60b600fab18bd722185836ad3cc,BumbleBee C&C
2022-06-24 08:35:36,b865e84aeb038ff2d58c6ff90b9f388c371f15de,DCRat C&C
2022-06-23 10:58:16,e0dabc3055f7f9f637ac862df4a64ba5ae44e8a6,AsyncRAT C&C
2022-06-23 05:49:15,79f4fdc70e5b91b8883bc77e91331893808fddaf,AsyncRAT C&C
2022-06-22 14:52:16,c0742fcfac0826954d1fb66f1eab22b391b17590,AsyncRAT C&C
2022-06-22 06:45:16,6fd6052eef50707b348a0032f8dd633ad1c6fe77,AsyncRAT C&C
2022-06-21 15:02:34,308e4e2ae362128a26e34f4cc6b9cef142086f5a,AsyncRAT C&C
2022-06-21 09:00:17,fcaeb027b58875151a8c97e1ad253a4836404de7,AsyncRAT C&C
2022-06-21 08:59:59,6fd6603f04bab782acab760e0238a550a87337e8,QuasarRAT C&C
2022-06-20 13:57:09,ea415e004720a18eb6900e6f5d0c6ac072594ef4,AsyncRAT C&C
2022-06-20 09:06:59,6f5ec1213fa024feae270b6535740a39795c1116,OrcusRAT C&C
2022-06-20 09:06:54,4a9a974d5ce5cd5a785cfd01ff26b5dc812cc371,AsyncRAT C&C
2022-06-19 17:26:45,cd28723c9b4621e61d4efc60b3fe28f670d1cc4e,AsyncRAT C&C
2022-06-19 17:26:32,c23cd8be625811441c681d84dc70ea0f5ca7e42f,AsyncRAT C&C
2022-06-19 09:26:13,9c5a9cb15b9c3f86acfc7a1d820f1f8de7161f21,OrcusRAT C&C
2022-06-19 09:25:57,38510c8f0d405e92eec89ad4abedb0f4d7e6c456,DCRat C&C
2022-06-18 07:09:55,6fe1806a42158720a236f30c475ec19f16ccc690,OrcusRAT C&C
2022-06-17 08:14:21,077dc279eeb10e0740765ad9cd2aa2601c31463b,Matanbuchus C&C
2022-06-17 08:14:20,3d12352bd1e105a710cd4e0abc1449317bd8f15c,Matanbuchus C&C
2022-06-17 08:13:22,9823e2d9199a05602d8ae05ffd2d3dc4523a9ee1,Matanbuchus C&C
2022-06-17 08:13:21,c3551c597372249225c36b6984f248bba1cbe513,Matanbuchus C&C
2022-06-17 08:13:21,85f3fa890d7294fa936e60607a60d52987882d4e,Matanbuchus C&C
2022-06-16 12:16:50,30a07bc8beb337565a30c4c9375953a9096a216b,CobaltStrike C&C
2022-06-15 18:21:52,ff42385359e54f2390dcd2f68b7fdd099c06059c,AsyncRAT C&C
2022-06-14 08:29:01,1f561dd91d46b24f143c852d64ffc543916c86d1,AsyncRAT C&C
2022-06-14 07:28:11,2758304126acd2f8aecb146623f9f51da321e94d,DCRat C&C
2022-06-13 06:27:15,eec941e2c867349dbaab786768fc82494d5275e9,AsyncRAT C&C
2022-06-13 06:27:02,a4c025ebdecb998eae3b62bc0658705a8e738b0f,AsyncRAT C&C
